HelioClim-1 Database of Daily Solar Irradiance v4.0 (derived from satellite data)
Provider;MINES ParisTech - Armines (France)
More information at;http://www.helioclim.org
Site latitude (positive means North);48.700
Site longitude (positive means East);2.180
Date beginning;1985-01-01
Date end;2005-01-01
Irradiance;Monthly mean of irradiance in W/m2 (-999 if no data)
Uncertainty;Uncertainty in irradiance in W/m2
Nb hours;In percent. Ratio of the number of hours used for the computation and the length of the day in hours
Nb data;Number of data used for the computation of the value
Top of Atm.;Monthly mean of irradiance at the top of the atmosphere (extraterrestrial) in W/m2
Clear-Sky;Typical monthly mean of irradiance if the sky were clear in W/m2
Irradiation;Monthly mean of daily irradiation in Wh/m2 (-999 if no data)
Irradiation J/cm2;Monthly mean of daily irradiation in J/cm2 (-999 if no data)
Monthly Sum;Monthly irradiation in Wh/m2 (i.e., monthly sum of radiation; -999 if no data)

Monthly means of irradiances in W/m2 and daily irradiation from HelioClim-1
Year;Month;Irradiance;Uncertainty;Nb hours;Nb data;Top of Atm.;Clear-Sky;Irradiation;Irradiation J/cm2;Monthly Sum;
1985;1;40;3;16;279;118;73;960;345;29760;
1985;2;81;6;21;252;183;117;1944;699;54432;
1985;3;119;9;26;279;277;195;2856;1028;88536;
1985;4;175;13;21;252;376;282;4200;1512;126000;
1985;5;216;16;27;279;449;328;5184;1866;160704;
1985;6;241;17;26;270;482;364;5784;2082;173520;
1985;7;264;18;26;252;466;350;6336;2280;196416;
1985;8;188;14;26;261;399;288;4512;1624;139872;
1985;9;169;11;24;270;310;217;4056;1460;121680;
1985;10;103;7;26;279;212;142;2472;889;76632;
1985;11;50;4;15;261;135;80;1200;432;36000;
1985;12;36;3;13;270;100;59;864;311;26784;
1986;1;32;3;16;279;118;73;768;276;23808;
1986;2;73;5;22;234;182;116;1752;630;49056;
1986;3;111;9;26;279;276;195;2664;959;82584;
1986;4;153;12;24;270;374;281;3672;1321;110160;
1986;5;209;15;27;270;449;328;5016;1805;155496;
1986;6;263;18;26;270;482;364;6312;2272;189360;
1986;7;-999;0;0;0;-999;-999;-999;-999;-999;
1986;8;183;14;25;279;401;290;4392;1581;136152;
1986;9;139;10;25;270;310;218;3336;1200;100080;
1986;10;82;6;29;279;213;142;1968;708;61008;
1986;11;50;4;15;261;135;80;1200;432;36000;
1986;12;30;2;13;270;99;59;720;259;22320;
1987;1;33;3;16;279;117;73;792;285;24552;
1987;2;47;4;21;252;181;116;1128;406;31584;
1987;3;100;8;26;252;270;189;2400;864;74400;
1987;4;200;14;22;261;373;279;4800;1728;144000;
1987;5;206;15;27;279;449;328;4944;1779;153264;
1987;6;209;16;25;270;482;364;5016;1805;150480;
1987;7;230;17;26;279;464;348;5520;1987;171120;
1987;8;191;14;26;279;402;290;4584;1650;142104;
1987;9;136;10;25;270;311;218;3264;1175;97920;
1987;10;76;6;28;279;213;143;1824;656;56544;
1987;11;41;3;15;270;135;80;984;354;29520;
1987;12;26;2;13;261;100;59;624;224;19344;
1988;1;37;3;16;279;117;72;888;319;27528;
1988;2;60;5;22;261;182;116;1440;518;41760;
1988;3;96;8;26;279;277;196;2304;829;71424;
1988;4;198;14;23;270;376;282;4752;1710;142560;
1988;5;218;17;27;63;426;313;5232;1883;162192;
1988;6;238;17;25;270;482;364;5712;2056;171360;
1988;7;214;16;25;270;463;347;5136;1848;159216;
1988;8;194;14;26;279;400;289;4656;1676;144336;
1988;9;121;9;25;270;309;217;2904;1045;87120;
1988;10;107;11;27;18;257;177;2568;924;79608;
1988;11;49;4;15;261;134;79;1176;423;35280;
1988;12;20;2;13;261;100;59;480;172;14880;
1989;1;30;3;16;270;117;73;720;259;22320;
1989;2;55;5;21;243;184;118;1320;475;36960;
1989;3;120;9;26;279;277;195;2880;1036;89280;
1989;4;155;12;22;270;375;281;3720;1339;111600;
1989;5;266;17;27;279;450;328;6384;2298;197904;
1989;6;260;18;25;261;482;364;6240;2246;187200;
1989;7;243;17;26;279;464;348;5832;2099;180792;
1989;8;191;14;26;279;400;289;4584;1650;142104;
1989;9;141;10;25;270;309;217;3384;1218;101520;
1989;10;81;6;27;279;212;142;1944;699;60264;
1989;11;52;4;15;270;134;80;1248;449;37440;
1989;12;27;2;13;252;99;58;648;233;20088;
1990;1;31;3;16;270;118;73;744;267;23064;
1990;2;63;5;21;252;182;116;1512;544;42336;
1990;3;125;9;27;279;276;195;3000;1080;93000;
1990;4;188;14;23;270;375;281;4512;1624;135360;
1990;5;257;17;27;279;449;328;6168;2220;191208;
1990;6;187;15;27;270;482;364;4488;1615;134640;
1990;7;260;18;27;279;464;348;6240;2246;193440;
1990;8;218;15;26;279;401;290;5232;1883;162192;
1990;9;143;10;25;270;310;218;3432;1235;102960;
1990;10;83;6;28;279;213;142;1992;717;61752;
1990;11;38;3;15;270;135;80;912;328;27360;
1990;12;20;2;13;279;100;59;480;172;14880;
1991;1;37;3;16;279;117;73;888;319;27528;
1991;2;67;5;22;252;181;116;1608;578;45024;
1991;3;100;8;26;279;275;194;2400;864;74400;
1991;4;186;13;23;270;374;280;4464;1607;133920;
1991;5;211;15;27;279;449;328;5064;1823;156984;
1991;6;186;15;26;270;482;364;4464;1607;133920;
1991;7;215;16;27;279;464;348;5160;1857;159960;
1991;8;223;15;26;279;401;290;5352;1926;165912;
1991;9;141;10;25;270;311;218;3384;1218;101520;
1991;10;70;6;28;279;213;143;1680;604;52080;
1991;11;38;3;15;270;135;80;912;328;27360;
1991;12;28;2;13;279;100;59;672;241;20832;
1992;1;32;3;16;279;117;72;768;276;23808;
1992;2;60;5;22;261;182;116;1440;518;41760;
1992;3;93;8;26;279;278;196;2232;803;69192;
1992;4;157;12;23;270;376;282;3768;1356;113040;
1992;5;242;17;27;279;450;329;5808;2090;180048;
1992;6;221;17;27;270;482;364;5304;1909;159120;
1992;7;236;17;27;279;463;347;5664;2039;175584;
1992;8;169;13;26;279;400;289;4056;1460;125736;
1992;9;119;9;24;270;309;216;2856;1028;85680;
1992;10;73;6;28;279;211;141;1752;630;54312;
1992;11;36;3;15;261;134;80;864;311;25920;
1992;12;26;2;13;279;99;59;624;224;19344;
1993;1;32;3;16;279;118;73;768;276;23808;
1993;2;43;4;21;243;183;117;1032;371;28896;
1993;3;125;9;27;279;277;195;3000;1080;93000;
1993;4;170;13;23;270;375;281;4080;1468;122400;
1993;5;190;15;27;279;450;329;4560;1641;141360;
1993;6;237;17;26;270;482;364;5688;2047;170640;
1993;7;219;16;26;279;464;348;5256;1892;162936;
1993;8;205;14;25;270;400;289;4920;1771;152520;
1993;9;111;9;25;270;309;217;2664;959;79920;
1993;10;65;5;27;279;212;142;1560;561;48360;
1993;11;45;3;15;270;134;79;1080;388;32400;
1993;12;16;2;13;279;100;59;384;138;11904;
1994;1;29;3;16;279;118;73;696;250;21576;
1994;2;43;4;22;252;182;116;1032;371;28896;
1994;3;91;8;26;279;276;195;2184;786;67704;
1994;4;161;12;23;270;375;281;3864;1391;115920;
1994;5;205;15;27;279;449;328;4920;1771;152520;
1994;6;253;18;27;270;482;364;6072;2185;182160;
1994;7;255;18;27;279;464;348;6120;2203;189720;
1994;8;187;14;26;279;401;290;4488;1615;139128;
1994;9;116;9;25;270;310;218;2784;1002;83520;
1994;10;83;6;28;279;213;142;1992;717;61752;
1994;11;33;3;15;270;135;80;792;285;23760;
1994;12;25;2;13;279;100;59;600;216;18600;
1995;1;29;2;16;279;117;73;696;250;21576;
1995;2;46;4;21;252;182;116;1104;397;30912;
1995;3;106;8;27;279;275;194;2544;915;78864;
1995;4;137;11;24;270;374;280;3288;1183;98640;
1995;5;203;15;27;279;449;328;4872;1753;151032;
1995;6;219;17;27;270;482;364;5256;1892;157680;
1995;7;245;17;27;279;464;348;5880;2116;182280;
1995;8;207;14;26;279;401;290;4968;1788;154008;
1995;9;115;9;25;270;311;218;2760;993;82800;
1995;10;85;6;29;279;213;143;2040;734;63240;
1995;11;44;3;15;270;135;80;1056;380;31680;
1995;12;20;2;13;279;100;59;480;172;14880;
1996;1;37;3;12;270;118;73;888;319;27528;
1996;2;39;4;26;261;182;117;936;336;27144;
1996;3;113;9;26;279;278;196;2712;976;84072;
1996;4;192;14;23;270;376;282;4608;1658;138240;
1996;5;154;13;26;279;450;329;3696;1330;114576;
1996;6;242;17;33;270;482;364;5808;2090;174240;
1996;7;229;17;29;279;463;347;5496;1978;170376;
1996;8;176;13;23;279;399;289;4224;1520;130944;
1996;9;141;10;25;270;309;216;3384;1218;101520;
1996;10;76;6;28;279;211;141;1824;656;56544;
1996;11;33;3;15;270;134;79;792;285;23760;
1996;12;25;2;13;279;99;59;600;216;18600;
1997;1;30;3;16;279;118;73;720;259;22320;
1997;2;53;4;22;252;183;117;1272;457;35616;
1997;3;108;8;27;279;277;195;2592;933;80352;
1997;4;203;14;24;270;376;282;4872;1753;146160;
1997;5;217;16;27;279;450;329;5208;1874;161448;
1997;6;207;16;27;270;482;364;4968;1788;149040;
1997;7;245;17;27;279;464;348;5880;2116;182280;
