year,month,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1995,1,4.6,7.3,1.5,1013.9,82.3,130.32,10.4,18.3,30.4, ,24,7,1,2
1995,2,7.3,9.8,4.6,1011.5,82.2,89.17,11.1,18.8,29.2, ,24,1,0,0
1995,3,6,9.7,2.1,1012.8,72.4,77.49,12.6,17.2,27.6, ,22,8,0,2
1995,4,9.4,13.4,5.8,1018.3,78.7,34.55,9.5,11.2,20.8, ,13,0,0,4
1995,5,13.6,18.4,8.2,1016.8,66.6,63.25,12.2,8.8,17.8, ,13,0,2,2
1995,6,15.2,19,11.1,1018,76.1,59.18,12,10.9,18.9, ,18,0,0,0
1995,7,20.9,26.3,15.6,1015.9,71.3,51.82,11,9.4,17.1, ,12,0,4,1
1995,8,20.6,25.9,15.2,1018.3,62.9,25.4,14.7,9.4,16.6, ,7,0,0,3
1995,9,14.4,18.2,11.1,1012,79.1,73.17,11.3,11.6,21, ,24,0,2,2
1995,10,13.4,17.9,8.7,1020.7,82.9,24.14,8.9,8.3,16.5, ,12,0,1,11
1995,11,6.9,10.6,3.3,1017.6,84.5,31.24,9.1,8.2,15.6, ,13,0,1,5
1995,12,0.3,2.8,-2.6,1017.7,89.8,50.82,5.9,6.2,12.3, ,14,6,0,10
1996,1,1.2,4.2,-1.5,1014,86,8.39,6.4,8.7,14.6, ,10,0,0,7
1996,2,1.6,4.3,-1.5,1013.2,85.6,32.78,8.6,13,21.1, ,17,11,1,2
1996,3,4,7.8,0.4,1017.9,82.9,14.24,8.6,10.4,17.4, ,14,4,0,4
1996,4,10.1,15.5,4,1017.8,68.7,3.05,12.6,9.6,18.2, ,6,0,0,3
1996,5,11.3,15,7.1,1014.2,73.8,48.51,11.9,11.4,19.4, ,22,0,2,1
1996,6,16.6,21.3,11.2,1021,71.7,15.5,15.3,9.6,18.8, ,14,0,2,1
1996,7,17.4,22.4,12.5,1017.8,73.3,20.07,14.1,6.5,13.8, ,13,0,2,0
1996,8,18,23,13,1014.8,73.7,182.39,12.7,5.6,12.8, ,14,0,3,3
1996,9,13.6,17.3,9.4,1017.1,72.5,23.63,12.1,5.3,11.8, ,12,0,0,2
1996,10,11.2,15.6,6.9,1016.8,79.2,55.11,10.2,5.6,11.3, ,14,0,0,5
1996,11,6.3,8.6,3.9,1010,89.9,110,9.3,7.7,15.6, ,23,5,0,5
1996,12,1.1,3.5,-1.3,1015.1,81.3,38.6,7.8,5.5,9.8, ,12,3,0,4
1997,1,-0.6,2.8,-4,1023.5,86.2,5.34,5.5,3.7,7.6, ,12,3,0,8
1997,2,7.1,9.8,4,1018.1,82.5,64.5,9.8,11.2,22, ,19,0,1,3
1997,3,8.9,12.7,5.1,1024.2,81.2,25.68,9.2,6.7,14.2, ,17,0,1,4
1997,4,8.6,12.9,4,1021.5,71.7,16.51,13.1,6.1,13.2, ,13,0,0,2
1997,5,13.5,18.3,8.4,1015.5,74.3,53.34,13.7,6.3,13, ,13,0,3,3
1997,6,16.4,20.7,11.6,1010.4,71.5,70.87,14,6.4,13.4, ,20,0,7,0
1997,7,17.8,22,13.2,1018.4,72.7,77.48,11.4,5.3,11.5, ,17,0,6,1
1997,8,21.4,26.9,15.9,1016.4,73.5,32.76,11.2,4.8,11.5, ,10,0,2,1
1997,9,15.2,20.2,10.3,1023.1,76.9,13.45,10.1,5.9,12.5, ,9,0,0,5
1997,10,10.5,14.5,6.2,1018,78.8,61.48,11.7,6.4,14.7, ,16,0,4,4
1997,11,7.2,9.7,4.3,1007.4,87.6,56.91,7.4,6.8,13.3, ,19,0,0,7
1997,12,5.6,7.9,3.2,1012.7,84.9,78.74,10.1,9,20.2, ,22,1,0,1
1998,1,4.8,7.5,1.6,1016.2,82.2,54.12,11.1,9.3,18.9, ,17,2,3,2
1998,2,6.7,10,3.1,1025.3,82,7.63,8.4,8.4,16.5, ,9,3,0,4
1998,3,8,11.2,4.7,1022.3,82.8,64.52,10.3,15.7,24.7, ,19,1,0,0
1998,4,9.5,13.4,5.9,1003.9,79.4,70.1,11.9,13.1,21.7, ,23,1,1,2
1998,5,15.7,20.4,10.7,1016.7,71.9,30.72,12.6,10.3,18.1, ,11,0,1,1
1998,6,16.3,20.7,12.6,1014.9,78.7,92.97,12.8,13.1,23.2, ,23,0,6,2
1998,7,17,21,12.6,1013.4,80.3,42.91,12.6,13.8,23.5, ,21,0,2,1
1998,8,18.1,22.9,13.2,1018,73.4,52.83,12.8,10.9,20.9, ,14,0,0,1
1998,9,15.6,19.7,11.8,1010,83.5,208.52,9.3,12.7,22.7, ,23,0,2,3
1998,10,10.5,13.1,7.6,1011.8,80.5,127.79,9.9,16.8,27.5, ,27,0,1,2
1998,11,4.3,7.3,1.2,1017.7,82.6,101.6,8.5,11.2,19.8, ,23,2,1,3
1998,12,5.2,7.4,2.9,1020,84.6,61.97,8.4,14.6,24.1, ,20,6,0,2
1999,1,6.4,8.9,3.8,1013.8,80.8,73.92,10.9,17,26.6, ,22,3,0,1
1999,2,4.2,6.9,1.6,1016.7,82.5,71.13,9.1,15.9,25.4, ,20,10,1,3
1999,3,8,11.8,4,1011.3,77.9,59.42,9.6,13.2,22.9, ,18,0,0,4
1999,4,10.3,14.6,5.5,1013.5,77.6,64.26,11.5,12.6,22.1, ,19,2,4,1
1999,5,15.1,19.7,9.8,1015.8,70,48.26,12.8,11.7,20, ,16,1,4,2
1999,6,16.1,20.5,11.3,1017.6,69.5,64.76,12.7,11.3,21.3, ,18,0,6,0
1999,7,20.2,25.2,15.1,1017.5,67.5,28.43,13.3,10.6,19, ,9,0,5,1
1999,8,18.4,23.4,13.2,1013.6,71.5,55.12,12.7,8.9,18.4, ,18,0,7,4
1999,9,18.1,22.8,13.6,1012.3,75.8,27.94,10.7,10.1,19.7, ,13,0,2,4
1999,10,11.4,15.1,7.8,1019.5,78.7,68.06,9.5,12.8,21.2, ,16,0,0,4
1999,11,7.2,9.7,4,1006,80.6,59.18,8.8,12.5,21.3, ,19,2,0,1
1999,12,5.4,7.5,3.1,1006.1,82.7,136.16,10,19,29.4, ,26,5,2,1
2000,1,5,7.1,2.5,1029.8,81.6,33.75,8.5,14.3,23, ,20,2,0,2
2000,2,6.8,9.9,3.3,1022.7,77.1,114.04,9.6,17,27.1, ,22,3,0,3
2000,3,7.8,10.7,4.7,1028.6,76.8,72.62,8.6,13.9,24.6, ,23,1,0,3
2000,4,10.6,15,5.8,992.8,68.8,43.68,9.9,11.7,21.9, ,21,0,0,1
2000,5,15.6,20.1,11.3,1011.1,70.6,110.72,9,10.8,21.4, ,20,0,8,1
2000,6,17.2,21.7,11.9,1019.3,66.3,45.2,10.4,10.9,19.8, ,11,0,1,0
2000,7,16,19.5,12.8,1005.6,79.6,168.91,8.8,10.1,21.4, ,25,0,8,3
2000,8,18.9,23.7,14.1,1018.4,70.1,29.71,10.4,8.6,17.2, ,12,0,4,0
2000,9,16.8,20.6,13.1,1012.6,78.4,113.27,9.7,9.9,19, ,20,0,3,3
2000,10,12.1,15.3,9,1006.7,80.6,123.44,9.5,15.4,26.4, ,26,0,1,4
2000,11,8.5,10.8,5.9,1010,82.2,94.23,10.3,17.4,26.7, ,23,0,0,0
2000,12,5.8,8.1,3.3,1005.2,83.8,47.26,8.9,15.3,24.2, ,22,7,1,2
2001,1,3.6,6.3,0.4,1015.8,84.7,81.26,8,12.7,20.4, ,18,3,1,7
2001,2,5.5,8.3,2.3,1013.7,81.1,62.24,8.8,13.3,22.5, ,18,8,1,6
2001,3,6.7,9.6,3.7,1002.6,78.5,94.24,8.1,12.3,23.1, ,21,5,1,1
2001,4,9.2,12.8,5.3,1019.1,70.6,82.28,10.3,13.5,23.8, ,24,2,1,0
2001,5,15.5,20.5,9.9,1014.5,62.6,13.71,11.5,12.3,20.7, ,10,1,1,0
2001,6,16.2,20.6,10.8,1017.5,65,48.76,12.4,11.6,21.8, ,14,0,4,0
2001,7,19.6,24.1,15,1012.6,70.2,121.66,12.3,10.8,20.3, ,14,0,4,1
2001,8,19.9,24.7,14.7,1018.2,69.5,55.11,10.3,10.5,19.7, ,17,0,6,1
2001,9,14.1,17.4,10.9,1014,80.1,189.23,9.3,12.9,22.3, ,26,0,4,2
2001,10,14.8,18.6,11,1005,80.5,66.81,9.6,12.7,21.9, ,17,0,0,6
2001,11,7.4,10.4,3.8,1020.1,84.4,84.84,7.7,10.8,20.4, ,18,2,2,8
2001,12,3.3,6,0.3,1015.2,87,58.18,7.4,12.4,23.3, ,20,8,0,9
2002,1,4.8,7.6,1.8,1032,87.8,80,7.4,14.8,23.7, ,18,1,0,8
2002,2,8.2,11.1,4.8,999.7,72.6,118.87,9.8,21,33.1, ,23,3,1,0
2002,3,8.4,12.4,4.3,-,70,37.85,9.3,12.1,22.2, ,14,1,0,1
2002,4,10.5,15.2,5.6,1008.9,61.4,32.52,9.5,11.3,20.5, ,11,0,1,4
2002,5,14.4,18.8,9.6,1010.3,69,49.01,8.9,11,20.8, ,17,1,2,6
2002,6,17.5,22,12.2,1009.4,65.7,65.04,10.6,11.3,22.3, ,15,0,5,0
2002,7,18.8,23.1,14.4,1018,70.1,66.28,9.9,11.2,20.7, ,18,0,3,0
2002,8,19.5,23.8,14.8,1017.8,75.7,135.89,8.7,7,16.5, ,18,0,6,4
2002,9,15.6,20.1,11.3,1025.8,71.7,53.1,9.6,7.4,16.7, ,12,1,2,6
2002,10,10.9,14.3,7.3,1011.3,80.1,62.22,9.1,13.2,24.4, ,21,0,0,2
2002,11,8.6,11.7,4.9,-,87.1,120.91,7.7,10.7,21.1, ,22,0,0,10
2002,12,4.2,6.4,1.7,1019.4,88,177.81,6.9,12.4,20.5, ,23,1,0,4
2003,1,3.1,5.6,-0,1029.9,86,72.38,9.2,15.4,25.6, ,18,9,2,0
2003,2,2.4,7.1,-1.9,1023.7,80.3,17.77,7.9,10.6,20.6, ,11,5,0,4
2003,3,8.6,14,3.3,1024.6,73.9,41.66,8.7,10,20.6, ,9,0,0,2
2003,4,10.7,15.9,4.9,1011.6,65.2,39.37,10.1,11.8,22.3, ,12,2,2,0
2003,5,14.2,19.1,8.9,1015.6,74.2,75.95,10,10.8,21.6, ,21,0,5,2
2003,6,19.2,24.6,13,1017.5,71.8,47,10.2,9.9,20.9, ,13,0,4,0
2003,7,19.9,25,14.6,1023.4,71.1,34.3,10.4,10.9,22.6, ,13,0,2,0
