year,month,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
1987,1,-1.8,-0.1,-4,-,79.8,26.15,6.9,14.8,23.8, ,7,7,0,2
1987,2,3.6,5.8,0.9,1010.9,88.3,53.35,6.6,13.7,21.1, ,15,7,0,5
1987,3,5.2,8.3,0.9,-,77.5,64.76,8.3,18.1,28.8, ,19,7,2,0
1987,4,13.6,17.5,6.7,-,63,31.25,10.2,15,23.9, ,10,0,1,0
1987,5,12.9,16.5,6.6,-,70.1,64,10.3,17.5,27.4, ,13,0,6,0
1987,6,16.2,19.6,11.2,1019.7,79.3,97.28,10.5,14.9,27.6, ,23,0,2,1
1987,7,19.2,22.7,13.3,-,69.8,89.41,10,13.6,23.2, ,16,0,6,1
1987,8,19.4,23.4,12.5,-,68.5,104.9,10.3,13.4,22.1, ,10,0,1,2
1987,9,18,21.9,12.6,-,71.9,40.89,9.7,12,21.4, ,9,0,1,2
1987,10,12.6,15.9,7.9,-,77.5,74.92,8.9,14,22.7, ,10,0,0,6
1987,11,7,9.5,3.8,1031.8,82.1,68.07,8,13.9,22.1, ,12,0,0,5
1987,12,4.8,6.8,1.9,1026.6,81,32.51,6.9,12.8,21.6, ,12,0,0,5
1988,1,7.4,9.8,4.3,1010.7,80.2,115.06,9.6,18.5,28.4, ,26,0,0,1
1988,2,5.4,8.7,1.2,1019.4,80,61.49,9.7,18.9,31.2, ,16,8,1,1
1988,3,7.4,9.9,4.2,1014.7,81.3,103.89,10.5,19.6,30.6, ,25,3,0,0
1988,4,11.3,15.3,5.3,1014.6,72.6,2.03,8.4,14.1,22.9, ,6,0,1,2
1988,5,15.1,19.2,9.8,1011.7,80.5,359.14,9.3,13.1,22.9, ,14,0,5,0
1988,6,16.9,21.2,11.3,1016.9,80.9,14.22,9.4,14,26.2, ,7,0,1,0
1988,7,18.1,22.7,12.5,1014.9,77.6,110.73,11,15.1,26.6, ,16,0,1,0
1988,8,19.4,24.8,12.5,1015.2,73.3,22.34,10.8,12.6,22, ,10,0,2,0
1988,9,15.7,19.8,11.4,1019,84.2,132.83,9.5,14.3,25.5, ,12,0,2,1
1988,10,12.7,16.6,8.5,1017.6,87.1,58.92,8.4,14,23, ,15,0,1,4
1988,11,6.1,9.7,1.6,1023.4,91.5,43.19,6.7,8.9,16.8, ,6,0,0,5
1988,12,7.7,9.3,5.3,1026.8,95,57.14,8.4,11.3,19.4, ,17,0,1,1
1989,1,4.4,7.4,1.4,1030.9,95.2,27.17,6.1,9.8,16.7, ,12,0,0,9
1989,2,4.9,8.5,1.5,1009.6,86.5,29.48,7.6,13.7,21.8, ,10,0,0,9
1989,3,10.5,14.6,5.4,1018,76.5,67.31,10,15.4,26.7, ,14,0,0,1
1989,4,8.7,12.9,3.9,1009,80.3,99.06,9.4,14.3,26.1, ,19,1,2,0
1989,5,17.2,22.7,9.7,1018.6,67.7,17.03,9.8,13.3,23.7, ,4,0,2,1
1989,6,11.8,16.7,6.4,1012.8,73.5,97.78,10.8,13,27.4, ,3,0,1,1
1989,7,21.8,26.8,13.9,1020.4,66.5,21.08,10.7,13,23, ,5,0,1,0
1989,8,20,25.4,12.7,1015.5,68.9,58.93,10.5,12.1,23.1, ,7,0,3,1
1989,9,17.1,22.2,11.1,1018.4,75.7,45.48,9.4,12,21.8, ,11,0,1,0
1989,10,14.2,18.3,9.3,1020.3,77.3,17.28,10,14,23.3, ,10,0,0,1
1989,11,6.3,10.3,2,1016.4,82.1,39.38,8.6,11.5,19.8, ,10,0,1,1
1989,12,4.9,7.6,1.6,1013.2,86.3,72.13,6.9,15.2,24.2, ,13,0,1,12
1990,1,5.9,8.1,3,1020.7,87.3,29.7,7.3,15.7,24.6, ,16,0,0,11
1990,2,9.4,13.3,5.1,1008.2,80.4,81.77,10.1,23.3,38.4, ,18,0,0,0
1990,3,9.5,13.9,3.3,1028.5,71.1,18.28,8.9,15.2,25.7, ,9,2,1,1
1990,4,9.7,14.4,3.9,1014.8,69,37.34,9.6,17.6,29.7, ,16,2,7,4
1990,5,16.5,21.8,8.6,1018.6,59.9,6.09,10.1,12.5,22, ,3,0,1,0
1990,6,16.2,20.5,10.9,1015.4,71.4,48.75,10.4,14.5,25.7, ,16,0,4,3
1990,7,20.5,26.1,12.5,1018.1,55.7,31.24,10.4,15.9,24.5, ,8,0,1,2
1990,8,22,27.9,14,1018,53.8,10.92,10,11.7,21.8, ,7,0,1,3
1990,9,15.7,21.1,8.5,1020.6,63.1,28.68,9.9,12.7,23.7, ,8,0,1,0
1990,10,14.1,19.4,9.2,1002.2,75,82.56,9.8,13.1,22.2, ,12,0,0,4
1990,11,7.4,11.1,4.4,1003,87.6,31.75,8.4,13.4,21.2, ,17,0,1,6
1990,12,4.1,6.9,1.3,1019,86.3,39.61,7.9,15.9,26.5, ,16,4,1,2
1991,1,4.3,7.7,1.5,1024.7,83.2,80.03,8.1,17.6,28.2, ,10,1,0,8
1991,2,1.2,5.7,-2.7,1015.5,79.4,9.64,5.5,12.6,21.9, ,6,7,0,9
1991,3,10.1,14.3,6,1021.8,79.5,66.54,8.5,14.6,25, ,20,0,0,2
1991,4,9.9,15.6,3.9,1016.4,70.7,36.56,9.6,16.7,27.1, ,14,1,1,4
1991,5,12.2,17.6,6.4,1021.2,76.5,23.09,9.8,14.7,23.8, ,11,0,1,2
1991,6,15.1,20.2,10.1,1013.8,79.3,60.95,10.4,17.9,28.2, ,21,0,3,1
1991,7,20,27,13.5,1016.1,77.3,42.67,10.1,13.7,23.3, ,12,0,2,0
1991,8,21.1,28.2,13.2,1019.3,59.2,24.12,10.3,12.9,21.7, ,4,0,0,1
